Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
6,70318001;-0,799501836;9,421140671;-3,413660526
6,72004006;-1,072283626;9,842277527;-3,540480137
6,73689933;-1,118046403;10,37617588;-3,818346739
6,75375861;-1,225723386;10,60857964;-4,218247414
6,77061861;-1,036391258;10,92203903;-4,514957428
6,78747871;-0,928714275;10,85743237;-4,469493389
6,80433798;-0,773180842;10,97258759;-4,500600338
6,82119725;-0,624825835;10,96271706;-4,636991024
6,8380573;-0,799501836;10,80957603;-4,186841488
6,85491736;-1,436291814;11,2190485;-4,119842529
6,87177663;-1,807478428;11,03240776;-3,978665829
6,8886359;-1,137188911;10,16082191;-3,186342478
6,90549595;-0,110069841;9,15763092;-2,070688963
6,922356;0,986441135;7,762017727;-1,886142492
6,93921527;1,635195136;6,758826733;-3,030509949
6,95607454;1,240379453;6,880860806;-4,428815842
6,97293459;0,433400005;7,522436142;-5,304887772
6,98979465;0,026620151;8,156833649;-5,343472004
7,00665392;-0,143569365;8,501698494;-4,648955345
7,02351319;-0,51206404;9,071489334;-3,629313707
7,04037324;-0,033499517;10,39531898;-3,250948668
7,05723329;0,926620543;11,0371933;-3,200699329
7,07409262;2,277069807;10,83829021;-4,052843571
7,09095183;2,437388897;9,634101868;-5,360221863
7,10781189;2,738884687;8,305487633;-4,184448719
7,12467194;2,573779821;6,122036934;-4,095914364
7,14153126;3,957728624;6,844968319;-4,622634411
7,15839048;4,34775877;6,95743084;-3,80159688
7,17525053;2,341675997;5,863312721;-1,656431437
7,19211064;2,118844509;6,20817852;-3,23180604
7,20896991;2,485245466;6,742076874;-5,877370834
7,22582918;2,434996128;7,237690449;-6,645765781
7,24268918;2,24566412;7,158727169;-4,735096931
7,25954928;2,612065077;6,713363171;-3,39212513
7,27640855;2,983251572;6,382854462;-3,660420418
7,29326782;2,892324448;6,083751678;-4,266103745
7,31012788;3,133999348;5,67427969;-5,228317261
7,32698793;3,502793312;5,731707573;-5,625824928
7,3438472;3,79471755;6,131608009;-5,010570526
7,36070647;3,687040567;6,722934246;-4,711168766
7,37756652;3,423830032;7,242475986;-5,00339222
7,39442657;3,287140131;7,237690449;-5,386542797
7,4112859;2,976073265;6,866503716;-5,353043556
7,42814512;2,956930637;6,205785751;-5,357829094
7,44500517;3,284747362;5,528317451;-6,097510338
7,46186527;4,10608387;4,917848587;-7,033702374
7,47872454;6,138487339;6,565008163;-7,529016495
7,49558381;8,266902924;9,145667076;-7,699205875
7,51244387;9,145667076;11,67398357;-7,579565048
7,52930392;5,712564945;11,88215923;-6,887440681
7,54616319;3,92392993;8,954241753;-5,341079235
7,56302246;3,208176851;7,04387188;-4,876572609
7,57988251;2,669492722;7,383652687;-5,405685425
7,59674262;1,79820621;8,951848984;-5,570790291
7,61360189;1,556231976;10,37139034;-5,520540714
7,6304611;1,889133453;10,66600704;-5,568397522
7,64732116;2,19780755;8,856135368;-5,386542797
7,66418126;1,779063582;6,531508446;-4,876572609
7,68104053;0,96251291;5,43260479;-4,768895626
7,6978998;0,605982363;5,568995476;-5,192425251
7,71475986;0,981655479;6,873682022;-6,231508255
7,73161991;1,584945917;8,405985832;-6,430112839
7,74847923;1,8628124;9,095417976;-6,451947212
7,76533845;2,281855583;8,90159893;-6,451947212
7,7821985;2,583351135;8,482556343;-5,884549141
7,7990586;2,830111027;7,795516968;-5,910870075
7,81591788;2,949752092;7,52722168;-5,879763603
7,83277715;3,002394199;7,438687325;-6,253043652
7,8496372;2,38474679;7,347760201;-6,138188362
7,86649725;1,881955028;7,817052364;-6,447161674
7,88335657;1,120439172;8,425128937;-6,15733099
7,90021579;0,179760799;8,492127419;-5,446363449
7,91707584;-0,16749759;8,111370087;-3,042474031
7,93393595;0,450149775;7,594220638;0,024227329
7,95079522;0,699302435;6,773183823;-0,60777694
7,96765449;0,268295229;6,548258305;-3,138485909
7,98451454;-0,315852583;6,344569206;-4,672883511
8,00137459;-0,466600418;6,74925518;-4,287639141
8,01823392;-0,253639191;7,268796921;-3,444767237
8,03509314;0,218045965;7,958229065;-2,841476917
8,05195319;-0,212961212;8,137690544;-2,958725214
8,06881329;-0,998106122;8,082655907;-3,485445261
8,08567256;-0,986142039;8,1257267;-3,768097401
8,10253183;-0,471386075;8,506484032;-3,732205153
8,11939189;-0,471386075;8,994919777;-3,554837227
8,13625199;-0,620040178;9,416355133;-3,51894474
8,15311126;-1,031605721;9,909575462;-3,629313707
8,16997048;-1,584646821;10,18714333;-3,868596077
8,18683058;-1,93190515;10,44586754;-4,21106863
8,20369064;-2,10897398;10,60379314;-4,3546381
8,22054996;-1,872084618;10,93639565;-4,091128349
8,23740918;-1,414756417;11,09462166;-4,553242207
8,25426923;-1,134796143;11,16162014;-5,120640278
8,27112933;-0,572183728;10,74975586;-5,158925533
8,2879886;-0,763609529;10,46022415;-5,108676434
8,30484788;-1,295115232;9,418747902;-4,46710062
8,32170793;-1,012463093;8,834600449;-3,157628536
8,33856798;-0,581754983;8,726922989;-2,101795673
8,3554273;-0,150747821;8,214560509;-1,859821439
8,37228652;0,385543555;7,912765503;-2,168794632
8,38914663;0,387936384;7,974978924;-2,88454771
8,40600668;0,395114839;8,14726162;-3,542873144
8,422866;0,498006225;8,420342445;-3,78484726
8,43972522;0,328115791;8,563912392;-3,602693558
8,45658527;0,277866542;8,975776672;-3,107379198
8,47344538;0,280259341;9,787242889;-2,755335331
8,49030465;0,591625392;11,44875908;-3,294019461
8,50716392;1,48444736;12,16959667;-3,696312666
8,52402397;2,023131609;11,70987606;-4,572384834
8,54088407;1,352842093;10,18235779;-4,993820667
8,55774334;1,417448282;8,494520187;-3,985844374
8,57460262;1,328913927;5,664708614;-4,48145771
8,59146267;3,236890793;5,844170094;-5,659324646
8,60832277;4,173082829;4,98963356;-5,70000267
8,62518204;3,811467409;4,980062008;-2,683550596
8,64204131;3,078964472;6,224927902;-3,07148695
8,65890136;2,537887573;7,567899704;-4,708775997
8,67576142;1,309771299;7,431509018;-5,319543839
8,69262074;1,886740685;6,998108864;-4,292424679
8,70948001;3,615255833;6,241677761;-4,328317165
8,72634006;3,253640652;5,300700188;-4,165306091
8,74320012;3,055036306;5,207380295;-4,821537495
8,76005944;3,241676569;5,537889004;-5,187639713
8,77691871;3,205784082;6,090929985;-5,446363449
8,79377876;3,203391314;6,629614353;-5,295316696
8,81063881;2,959323406;6,840182781;-5,499005318
8,82749814;3,110071182;6,756433964;-5,57318306
8,84435736;3,718147278;6,844968319;-5,448756218
8,86121741;4,149154663;6,981359005;-5,463113308
8,87807751;4,544269085;6,442675114;-5,721538067
8,89493683;5,053940296;5,793920994;-6,332006931
8,91179605;6,344569206;6,430710793;-7,074379921
8,92865616;8,338687897;8,135297775;-7,960023403
8,94551621;9,262915611;10,35224819;-8,21635437
8,96237553;7,90558672;11,98744297;-7,505088329
8,97923475;4,577768803;11,37697411;-6,796513557
8,99609486;3,823431492;9,069096565;-5,678467274
9,01295491;3,200998545;7,402794838;-5,647360325
9,02981423;2,090130568;7,249654293;-5,941977024
9,04667345;1,19730866;7,582256794;-6,044867992
9,06353355;1,350449324;7,924729347;-6,34875679
9,08039361;2,056631088;7,572685242;-6,609873295
9,09725293;2,650350094;6,725327015;-5,970690727
9,11411215;2,638386011;6,950252533;-4,905286312
9,13097225;2,049452543;7,994121552;-4,651348114
9,1478323;0,96251291;8,707481384;-4,684847832
9,16469163;0,447756946;9,198308945;-4,651348114
9,1815509;0,344865561;9,193523407;-5,075176716
9,19841095;1,063011408;8,561519623;-6,243472576
9,21527105;1,173380375;7,390830994;-5,855535984
9,23213032;1,240379453;6,682256222;-6,53569603
9,24898959;1,379163146;6,560222149;-6,250650883
9,26584965;1,147059321;6,433103561;-6,140581131
