"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.592244133E1,-2.484383698E0,9.388626251E0,-1.635798340E0
2.593249233E1,-1.852397919E0,9.336684265E0,-1.678010559E0
2.594254233E1,-1.313518524E0,9.152866516E0,-1.596280518E0
2.595259333E1,-1.113983459E0,8.845256195E0,-1.567839661E0
2.596264333E1,-1.285975800E0,8.607550507E0,-1.563049622E0
2.597269433E1,-1.740580444E0,8.768765259E0,-1.235381012E0
2.598274433E1,-2.245929565E0,9.757309570E0,-2.390528870E-1
2.599279533E1,-2.630479889E0,1.130928223E1,1.006357269E0
2.600284533E1,-3.059787140E0,1.281919235E1,1.762285309E0
2.601289633E1,-3.376229095E0,1.369966141E1,1.691332855E0
2.602294633E1,-3.301384735E0,1.338576416E1,1.057550812E0
2.603299733E1,-2.855312347E0,1.219079910E1,5.206173706E-1
2.604304733E1,-2.553689575E0,1.112995514E1,1.664538574E-1
2.605309833E1,-2.368374939E0,1.077309723E1,1.959425354E-1
2.606314833E1,-2.093097382E0,1.086500610E1,3.207829285E-1
2.607319933E1,-1.753902740E0,1.094898148E1,3.561094666E-1
2.608324933E1,-1.616039429E0,1.069016968E1,4.996609497E-1
2.609330033E1,-1.656006317E0,1.038839722E1,5.348377991E-1
2.610335033E1,-1.660496979E0,1.024619293E1,3.326083374E-1
2.611340133E1,-1.644031219E0,1.029469208E1,8.083190918E-2
2.612345233E1,-1.742077332E0,1.047686325E1,2.062710571E-1
2.613350233E1,-1.862876129E0,1.060634399E1,7.264393616E-1
2.614355333E1,-1.769170990E0,1.040621017E1,1.124611359E0
2.615360333E1,-1.465751953E0,1.005144791E1,1.161584473E0
2.616365433E1,-9.020242310E-1,9.741442566E0,1.124012604E0
2.617370433E1,-3.293151855E-1,9.584868164E0,1.001716919E0
2.618375533E1,3.098556519E-2,9.574689331E0,7.937992859E-1
2.619380533E1,1.025367737E-1,9.537117462E0,4.932243347E-1
2.620385633E1,7.559280396E-2,9.541458435E0,1.698966980E-1
2.621390633E1,-3.487747192E-2,9.662406921E0,-9.190887451E-2
2.622395733E1,-2.007325745E-1,9.862989807E0,-2.971321106E-1
2.623400733E1,-3.632945251E-1,1.006521927E1,-4.827461243E-1
2.624405833E1,-5.204676819E-1,1.027223877E1,-6.945556641E-1
2.625410833E1,-7.526348877E-1,1.040621017E1,-8.396040344E-1
2.626415933E1,-1.016536102E0,1.038585251E1,-8.660989380E-1
2.627420933E1,-1.216370544E0,1.022523651E1,-8.216413879E-1
2.628426033E1,-1.300794983E0,9.930050354E0,-8.292755127E-1
2.629431033E1,-1.299896851E0,9.601184235E0,-9.433383179E-1
2.630436133E1,-1.241518250E0,9.401050415E0,-1.081950073E0
2.631441133E1,-1.139131165E0,9.308093719E0,-1.306034088E0
2.632446233E1,-1.008602600E0,9.329798584E0,-1.548529816E0
2.633451233E1,-8.479866028E-1,9.262588348E0,-1.937570801E0
2.634456333E1,-6.010002136E-1,9.032516785E0,-2.286794586E0
2.635461333E1,-5.780978394E-1,8.819958801E0,-2.489922180E0
2.636466433E1,-6.848258972E-1,8.634344788E0,-2.537223816E0
2.637471433E1,-8.098159790E-1,8.464298401E0,-2.652933197E0
