"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.295378708E0,2.054576762E-2,-3.839644045E-2,-1.267559826E-2
2.305429708E0,1.148226392E-2,-2.539349906E-2,-3.020685166E-2
2.315479708E0,-9.994264692E-3,-1.305160951E-2,-4.248402268E-2
2.325529708E0,-3.815243393E-2,-1.032885350E-2,-5.393701792E-2
2.335580708E0,-6.730898470E-2,-1.945843548E-2,-5.677355081E-2
2.345630708E0,-8.117473125E-2,-3.955794126E-2,-5.727010220E-2
2.355680708E0,-8.558572084E-2,-6.351627409E-2,-5.768688396E-2
2.365731708E0,-6.917047501E-2,-8.172798902E-2,-5.284937471E-2
2.375781708E0,-4.273407161E-2,-9.265014529E-2,-4.779123515E-2
2.385831708E0,-1.201353595E-2,-9.302628040E-2,-4.832168296E-2
2.395882708E0,1.476747729E-2,-8.032567054E-2,-4.943355173E-2
2.405932708E0,2.949707955E-2,-5.801732466E-2,-4.754188284E-2
2.415982708E0,3.222229332E-2,-4.305062816E-2,-5.373985693E-2
2.426033708E0,2.306568250E-2,-2.757862210E-2,-6.034531072E-2
2.436083708E0,4.628619179E-3,-2.184590138E-2,-7.023656368E-2
2.446133708E0,-2.095946670E-2,-2.660229988E-2,-7.950028777E-2
2.456184708E0,-4.106713086E-2,-4.407982528E-2,-9.208691865E-2
2.466234708E0,-5.617881566E-2,-7.396337390E-2,-9.825591743E-2
2.476284708E0,-5.246051401E-2,-9.742449224E-2,-9.593071043E-2
2.486335708E0,-3.932107240E-2,-1.173812747E-1,-9.686295688E-2
2.496385708E0,-2.468034811E-2,-1.274610758E-1,-9.652686119E-2
2.506435708E0,-1.081154402E-2,-1.343752742E-1,-9.556384385E-2
2.516486708E0,-1.667846460E-3,-1.299999654E-1,-8.749686182E-2
2.526536708E0,6.683873478E-3,-1.113029793E-1,-7.699838281E-2
2.536586708E0,8.610138670E-3,-9.926442057E-2,-6.586876512E-2
2.546637708E0,8.690314367E-3,-8.460804075E-2,-5.386353284E-2
2.556687708E0,8.949173614E-3,-7.209277898E-2,-4.685036466E-2
2.566737708E0,3.976208623E-3,-5.809264258E-2,-3.901471943E-2
2.576788708E0,-2.142749727E-4,-3.938287124E-2,-3.964855149E-2
2.586838708E0,-4.056919366E-3,-1.940971054E-2,-5.079301074E-2
2.596888708E0,-1.059471257E-2,-1.485277619E-2,-6.551922858E-2
2.606939708E0,-1.394158788E-2,-1.320869848E-2,-8.214105666E-2
2.616989708E0,-2.239392884E-2,-1.943197288E-2,-9.200886637E-2
2.627039708E0,-2.141965926E-2,-3.188920766E-2,-9.138011932E-2
2.637090708E0,-1.499132160E-2,-2.805372328E-2,-8.459705114E-2
2.647140708E0,-5.021546967E-3,-2.076151408E-2,-8.029770851E-2
2.657190708E0,9.830636904E-3,-6.608678028E-3,-7.161074132E-2
2.667241708E0,2.287204005E-2,1.093036216E-2,-6.534386426E-2
2.677291708E0,2.759196050E-2,2.321152762E-2,-6.152462959E-2
2.687341708E0,2.701364458E-2,1.220085099E-2,-5.322567001E-2
2.697391708E0,2.487672493E-2,-5.075074732E-3,-4.749374837E-2
2.707442708E0,3.302202001E-2,-8.012863807E-3,-4.174162075E-2
2.717492708E0,4.571251571E-2,-5.794184282E-3,-3.933705389E-2
2.727542708E0,5.686268210E-2,-3.043574048E-3,-4.035953805E-2
2.737593708E0,6.622742862E-2,7.144881412E-3,-4.133158922E-2
2.747643708E0,6.214578822E-2,2.096856572E-2,-3.661230952E-2
2.757693708E0,4.952826351E-2,3.135409579E-2,-2.989049256E-2
2.767744708E0,2.321115322E-2,4.035812616E-2,-2.121987380E-2
2.777794708E0,-5.253776908E-3,2.446251735E-2,-6.509104744E-3
2.787844708E0,-2.135628276E-2,7.174134254E-3,1.365935244E-2
2.797895708E0,-2.109182999E-2,-1.054307725E-2,2.809421718E-2
2.807945708E0,-1.061810367E-2,-2.836388163E-2,3.482965752E-2
2.817995708E0,9.996095672E-3,-4.733517766E-2,2.960080653E-2
2.828046708E0,3.055078536E-2,-4.599213600E-2,2.490496449E-2
2.838096708E0,4.277735949E-2,-3.397089243E-2,1.170793734E-2
2.848146708E0,3.815805912E-2,-2.632176504E-2,-3.844161052E-3
2.858197708E0,2.222995646E-2,-2.793670632E-2,-2.118346840E-2
2.868247708E0,-4.352245945E-3,-1.849063300E-2,-3.934783861E-2
2.878297708E0,-2.950526960E-2,-7.544509135E-3,-4.846836627E-2
2.888348708E0,-5.362110585E-2,-1.087917574E-2,-5.495467782E-2
2.898398708E0,-6.692706048E-2,-9.185938165E-3,-5.454588309E-2
2.908448708E0,-6.608366221E-2,-1.461867336E-2,-5.659139156E-2
2.918499708E0,-5.531437695E-2,-2.058282122E-2,-4.928740859E-2
2.928549708E0,-3.557781130E-2,-2.900559269E-2,-4.442009702E-2
2.938599708E0,-9.783230722E-3,-2.626759559E-2,-3.635444865E-2
2.948650708E0,1.252407767E-2,-2.483794838E-2,-3.488425165E-2
2.958700708E0,3.123358451E-2,-1.822878048E-2,-3.552820161E-2
2.968750708E0,3.710576147E-2,-7.910594344E-3,-3.667465225E-2
2.978801708E0,2.915542386E-2,-1.213543303E-2,-3.865364566E-2
2.988851708E0,2.013277262E-2,-1.044928096E-2,-3.583683446E-2
2.998901708E0,6.667032838E-3,-7.625531871E-3,-3.289857134E-2
3.008952708E0,-4.732298665E-3,-1.705956645E-2,-3.117416427E-2
3.019002708E0,-1.159073785E-2,-2.347139269E-2,-3.388339654E-2
3.029052708E0,-1.712317392E-2,-2.034223452E-2,-3.412657976E-2
3.039103708E0,-2.158929408E-2,-2.413138002E-2,-3.337796405E-2
3.049153708E0,-2.351357602E-2,-2.036608197E-2,-2.745465375E-2
3.059203708E0,-2.146454155E-2,-1.924116351E-2,-1.773517951E-2
3.069254708E0,-1.203589235E-2,-1.198022440E-2,-8.454455994E-3
3.079304708E0,-2.123873215E-3,2.161161276E-3,-6.630723365E-3
3.089354708E0,3.208604641E-3,8.258889429E-3,-1.874381211E-3
3.099404708E0,6.518648006E-3,1.409227774E-2,2.088668756E-3
3.109455708E0,6.522471551E-3,1.723374985E-2,2.607531147E-3
3.119505708E0,1.099445112E-2,1.479988545E-2,-3.092432395E-3
3.129555708E0,8.486300707E-3,1.023810171E-2,-2.395140752E-2
3.139606708E0,3.209780436E-3,2.898632083E-4,-4.131654650E-2
3.149656708E0,-7.520089392E-3,-9.827582166E-3,-5.440878496E-2
3.159706708E0,-2.538217604E-2,-2.453302406E-2,-5.766396597E-2
3.169757708E0,-4.378553480E-2,-2.660890855E-2,-4.813042656E-2
3.179807708E0,-4.963303357E-2,-1.526517328E-2,-3.526043519E-2
3.189857708E0,-5.065501481E-2,-1.057257876E-2,-2.395160310E-2
3.199907875E0,-4.043247178E-2,-2.983102808E-3,-1.953182183E-2
3.209957875E0,-2.317924425E-2,2.721174620E-3,-2.129670605E-2
3.220007875E0,-3.421519883E-3,7.105004042E-3,-2.309513837E-2
3.230058875E0,9.967789054E-3,2.282818314E-3,-2.415933646E-2
3.240108875E0,1.172148064E-2,-1.669312594E-3,-1.604468562E-2
3.250158875E0,1.016030833E-2,-1.621538773E-2,-3.432695754E-3
3.260209875E0,4.790309817E-3,-2.329087257E-2,6.410347763E-3
3.270259875E0,-9.402385913E-4,-1.591221988E-2,1.087877713E-2
3.280309875E0,-4.343758337E-3,2.953612711E-3,5.115429871E-3
3.290360875E0,-7.681449410E-3,1.455061696E-2,-6.180515047E-4
3.300410875E0,-1.248952001E-2,2.643950097E-2,-1.085897163E-2
3.310460875E0,-1.856314391E-2,3.203468770E-2,-1.596621424E-2
3.320511875E0,-2.860193141E-2,3.554873168E-2,-2.419378608E-2
3.330561875E0,-3.281904384E-2,3.127169237E-2,-2.392054349E-2
3.340611875E0,-4.140986875E-2,1.095630042E-2,-2.537756041E-2
3.350662875E0,-4.656618834E-2,1.307141385E-3,-2.731972560E-2
3.360712875E0,-3.705736995E-2,-6.869029254E-3,-2.994081005E-2
3.370762875E0,-3.085186146E-2,-7.612692658E-3,-3.372811154E-2
3.380813875E0,-1.711208187E-2,-3.373472951E-3,-3.533133492E-2
3.390863875E0,-1.235343516E-2,6.309826858E-3,-3.575007617E-2
3.400913875E0,-1.621981338E-2,1.249395311E-2,-2.944610454E-2
3.410964875E0,-2.809461392E-2,1.120136678E-2,-2.048397064E-2
3.421014875E0,-4.013476521E-2,1.481261291E-2,-1.520265546E-2
3.431064875E0,-4.575801268E-2,1.639314368E-2,-1.320345234E-2
3.441115875E0,-4.682860151E-2,1.283409446E-2,-2.275754139E-2
3.451165875E0,-4.944012314E-2,-1.072101668E-2,-3.839783370E-2
3.461215875E0,-6.370534748E-2,-2.973092534E-2,-5.003877729E-2
3.471266875E0,-7.685308903E-2,-4.491046816E-2,-5.241115019E-2
3.481316875E0,-8.527107537E-2,-4.520234838E-2,-4.789229482E-2
3.491366875E0,-9.033113718E-2,-2.962489612E-2,-3.938712552E-2
3.501417875E0,-8.632041514E-2,-1.393258339E-3,-3.937247768E-2
3.511467875E0,-8.052093536E-2,2.387035452E-2,-4.195343703E-2
3.521517875E0,-7.872037590E-2,4.617645964E-2,-4.662248865E-2
3.531568875E0,-7.983244956E-2,5.057791248E-2,-4.877071083E-2
3.541618875E0,-8.142342418E-2,3.254884109E-2,-4.048215598E-2
3.551668875E0,-8.487978578E-2,2.199851163E-2,-2.183208615E-2
3.561719875E0,-8.683694899E-2,1.127050072E-2,-4.546306562E-3
3.571769875E0,-7.987575233E-2,6.044416223E-4,1.455690712E-2
3.581819875E0,-7.274806499E-2,6.592026912E-3,3.559055179E-2
3.591870875E0,-5.348880589E-2,1.860810071E-2,4.743946344E-2
3.601920875E0,-3.597585857E-2,3.459771723E-2,4.961207137E-2
3.611970875E0,-2.086976729E-2,4.815768823E-2,4.306979477E-2
3.622020875E0,-1.190183777E-2,5.437883362E-2,3.400306404E-2
3.632071875E0,-1.248331740E-2,4.784694687E-2,2.935873345E-2
3.642121875E0,-1.877690107E-2,2.393016219E-2,2.721222490E-2
3.652171875E0,-2.668738365E-2,1.119252201E-2,2.904014289E-2
3.662222875E0,-3.893819079E-2,2.583854133E-3,3.225457668E-2
3.672272875E0,-4.155884683E-2,-4.739500582E-5,3.164692968E-2
3.682322875E0,-3.978731483E-2,1.900565811E-2,2.862184495E-2
3.692373875E0,-3.455659002E-2,4.377668723E-2,1.469682902E-2
3.702423875E0,-2.861933969E-2,6.090294570E-2,-3.693363164E-3
3.712473875E0,-2.535918355E-2,6.804068387E-2,-1.972862147E-2
